Id,Class,Preferred_EX_Length,Reason_Used,Process_Difficulty,Comfortability,Importance_Meeting_OG_Deadline,Pressure_Meeting_OG_Deadline,Pressure_Felt_To_CompleteHW,Importance_Meeting_Deadlines_OtherClasses,Importance_Meeting_Deadlines_OtherClasses_STRICT,Extension_Pressure_Impact,Preferred_HW_EX_AMT,Preferred_Read_EX_AMT,HW_ImportanceValue,Reason_One_EX_Leftover,Reason_No_EX_Used,Majority_of_Homework_DoneBy,Extension_Impact_onQuality,Strict_Deadline_Effect,Extensions_In_All_CSCSFE,Extensions_In_AllCourses,Year,Age,Est_GPA,HS_Type,Final_Score,Extension_1,Extension_2,Total_Extensions
123,CSC 310: Programming Languages,3 Days,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very uncomfortable,,,,,Exceptionally High Pressure,,2,4,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,2.5 - 2.99,Homeschool,74.59,1,1,2
124,CSC 145: Data Structures,4 Days,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,,,,,,2,2,not really,"I didn't need it, so I didn't take it",,3 days before the deadline,,This policy would make the course significantly worse,Yes,Yes,Sophomore,,2.5 - 2.99,Private Religious High School,XXXXX,,,
125,CSC 310: Programming Languages,5 Days,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Very uncomfortable,,,,,Exceptionally High Pressure,,4,"On every assignment, if needed",not at all,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,It could be. If the teacher is amenable to extensions they should have a clear extension policy.,I disagree for writing classes. In English or History an in extenuating circumstances or when you set the new deadline is your DEADline is better.,Junior,,3.0 - 3.49,Private Religious High School;Classical College Prep School,65.19,1,1,2
126,CSC 145: Data Structures,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I started the assignment early enough, but waited too long to get most of it done",Very Straightforward and Easy,Very comfortable,Extremely Important,,,,,,2,2,not at all,,,LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.0 - 3.49,Public High School,101.36,1,1,2
127,CSC 261: Databases,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,2,2,not really,I wanted to save it for an emergency,,1 day before the deadline,,This policy would make the course significantly worse,Yes,Yes,Sophomore,,3.5 - 4.0,Private Religious High School,XXXXX,,,
128,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Somewhat comfortable,,,,,,,3,0,"yes, definitely",,,1 day before the deadline,,,Yes,No,Sophomore,,2.0 - 2.49,Public High School,90.16,1,1,2
129,CSC 145: Data Structures,One week,I waited too long to start the assignment,Very Straightforward and Easy,Very comfortable,,,,,Exceptionally High Pressure,,2,2,not at all,,,2 days before the deadline,Made the course significantly better,,Yes,Yes,Freshman,,3.5 - 4.0,Public High School,97.72,1,1,2
130,CSC 145: Data Structures,5 Days,I waited too long to start the assignment;I had other assignments due around the same time;I took extensions on modules 5 and 3. They were pretty big and mostly my decision to making to taking extension was because these were long and arduous work. It was a tedious when trying to learning the items which we knew the logic to but we did not really code much.,Very Straightforward and Easy,Very comfortable,,,,Extremely Important,Exceptionally High Pressure,,2,2,not at all,,,2 days before the deadline,,,"Yes and let me explain why, here is the dael; we are computer science students. we are hard working and we enjoying to have the assignments to work on. Fact of the matter is many of us have other class which also having multiple homeworks. SO sometimes the doctor brown quest log gets pressed to the back burner. And then it simmers there for around 6-7 days until you are like ""aaah it is time to do quest log"" so then you taking extension and you can even do it over the course of the weekend. The thing is we often have no homeworks besides on the weekend due so that is how the time i get the quest log done after the deadline passes when i have taking extension.","No;I would say no because what if its your job to be doing reading and you cannot even fulfilling that obligation, I suppose you could say that of me but I am a cool exception as a computer scienceing. ",Sophomore,,3.5 - 4.0,Homeschool,114.17,1,1,2
131,CSC 310: Programming Languages,One week,"I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I didn't have the motivation to finish the assignment;I could have completed it on time, but I didn't want the pressure;I forgot the assignment was due",,Very comfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,2,1,not at all,"I wanted to save it for an emergency;I didn't need it, so I didn't take it",,2 days before the deadline,Made the course significantly better,,Yes,Yes,Sophomore,,2.5 - 2.99,Private Religious High School,79.05,1,0,1
132,CSC 145: Data Structures,One week,"I had other assignments due around the same time;I waited too long to start the assignment;I wanted more time to do a better job on the assignment, or get more work done on it",Very Straightforward and Easy,Very comfortable,,,,,,It made no impact one way or another,3,3,"yes, definitely",,,1 day before the deadline,,,Yes,Yes,Sophomore,,3.0 - 3.49,Private Religious High School,89.55,1,1,2
133,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it",,Somewhat comfortable,,,,,,,2,2,not at all,"I didn't need it, so I didn't take it",N/A,2 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,3.5 - 4.0,Homeschool,96.69,1,1,2
134,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I waited too long to start the assignment;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,,Extremely Important,,,2,1,not really,,,2 days before the deadline,Made the course significantly better,,Yes,No,Senior,,3.5 - 4.0,Private Religious High School,99.39,1,1,2
135,CSC 310: Programming Languages,One week,"I waited too long to start the assignment;I had other assignments due around the same time;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,Extremely Important,,,2,1,not really,,,2 days before the deadline,Made the course significantly better,,Yes,No,Senior,,3.5 - 4.0,Private Religious High School,XXXXX,,,
136,CSC 310: Programming Languages,One week,"I wanted more time to do a better job on the assignment, or get more work done on it;I had other assignments due around the same time",,Neither comfortable nor uncomfortable,Extremely Important,,Zero Pressure,Extremely Important,Exceptionally High Pressure,,3,3,not at all,"I wanted to save it for an emergency;I didn't want to use ANY extensions, but life and/or unforeseen circumstances forced me to use one.;I didn't need it, so I didn't take it",,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,"Yes, but with changes (include changes in ""other"" option below);Having three extensions would give me more peace of mind, even if I don't end up using them","Yes, but with changes (include changes in ""other"" option below);See above",Senior,,3.96,Private Religious High School,97.57,1,0,1
137,CSC 145: Data Structures,One week,Emergency or family concerns;I had other assignments due around the same time,Very Straightforward and Easy,Very uncomfortable,,,,Extremely Important,Exceptionally High Pressure,Eliminated the pressure completely,3,"On every assignment, if needed",not really,,,1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Freshman,,3.0 - 3.49,Private Religious High School,84.73,1,1,2
138,CSC 145: Data Structures,One week,"i took both early to enjoy and get acclimated to the first couple weeks of the semeseter,and to stop myself from procrastinating later in the semester",Very Straightforward and Easy,Very uncomfortable,Extremely Important,Zero Pressure,Zero Pressure,,Zero Pressure,,2,2,not really,,,2 days before the deadline,,,Yes,Yes,Junior,,2.5 - 2.99,Public High School,83.91,1,1,2
139,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done",,Very uncomfortable,,,,Extremely Important,,,2,"On every assignment, if needed",not at all,,,1 day before the deadline,,This policy would not impact the quality of the course overall,Yes,"Yes, but with changes (include changes in ""other"" option below);I think in other STEM classes it would be nice",Junior,,3.0 - 3.49,Homeschool;G.E.D.,XXXXX,,,
140,CSC 145: Data Structures,3 Days,I didn't take an extension at all,,,Extremely Important,Exceptionally High Pressure,,Extremely Important,Exceptionally High Pressure,,2,2,"yes, a little bit",,,1 day before the deadline,,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below)",Yes,Freshman,,2.0 - 2.49,Public Religious High School;Public High School,91.2,0,0,0
141,CSC 145: Data Structures,One week,I waited too long to start the assignment;I had other assignments due around the same time;Emergency or family concerns,,Neither comfortable nor uncomfortable,,,,,,It made no impact one way or another,2,2,"yes, definitely","I didn't need it, so I didn't take it","I didn't need them at all, so I didn't take them",2 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below)",No,Sophomore,,1.5 - 1.99,Public High School,88.25,1,1,2
142,CSC 145: Data Structures,One week,I had other assignments due around the same time,Very Straightforward and Easy,Somewhat comfortable,Extremely Important,Exceptionally High Pressure,Exceptionally High Pressure,Extremely Important,,,2,"On every assignment, if needed",not at all,,,1 day before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,Yes,Yes,Sophomore,,,Homeschool,71.03,1,1,2
143,CSC 310: Programming Languages,One week,"I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Somewhat comfortable,,,Exceptionally High Pressure,Extremely Important,,,2,2,not at all,,,3 days before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,No,Sophomore,,3.0 - 3.49,Public High School,90.04,1,1,2
144,CSC 145: Data Structures,6 Days,"I waited too long to start the assignment;I started the assignment early enough, but waited too long to get most of it done;I had other assignments due around the same time;I wanted more time to do a better job on the assignment, or get more work done on it;I knew I could have an extra week to get it done, so I decided to do something more enjoyable instead",Very Straightforward and Easy,Very uncomfortable,,,Exceptionally High Pressure,,,,3,2,not really,,,1 day before the deadline,,This policy would make the course significantly worse,Yes,"Yes, but with changes (include changes in ""other"" option below);I think it works especially well for these types of assignments that are quasi project based, because they require more time to be completed and there is a limited number of them throughout the semester.",Senior,,3.0 - 3.49,Private Non-Religious High School;Private Religious High School,39.42,1,1,2
145,CSC 310: Programming Languages,5 Days,I had other assignments due around the same time;I waited too long to start the assignment;I forgot the assignment was due,I had a lot of trouble figuring out what I needed to do,Somewhat uncomfortable,,Exceptionally High Pressure,,,,,5 or more,5 or more,"yes, definitely","I didn't know I could request extensions until later in the semester, but I didn't end up needing more than the extension(s) I took.;I didn't know I could request extensions until later in the semester, so I couldn't actually use more than the extensions I took.","I didn't know I could take extensions, or I learned about the extension policy too late in the semester to use them;I couldn't figure out what I needed to do to request an extension.",LESS THAN 1 day before the deadline,Made the course significantly better,This policy would make the course significantly worse,Yes,Yes,Senior,,2.5 - 2.99,Private Religious High School,100.88,1,1,2
146,CSC 145: Data Structures,One week,I had other assignments due around the same time,Very Straightforward and Easy,Very comfortable,,,Exceptionally High Pressure,Extremely Important,,,1,0,not at all,,,3 days before the deadline,Ability to request extensions had no impact on the overall quality of the course,This policy would not impact the quality of the course overall,"Yes, but with changes (include changes in ""other"" option below);Only one extension",No,Sophomore,,3.5 - 4.0,Homeschool,XXXXX,,,
147,CSC 145: Data Structures,One week,"I waited too long to start the assignment;I could have completed it on time, but I didn't want the pressure;I started the assignment early and worked on it consistently before the deadline, but I still couldn't finish it on time",Very Straightforward and Easy,Neither comfortable nor uncomfortable,Extremely Important,,Exceptionally High Pressure,Extremely Important,Exceptionally High Pressure,,3,0,not at all,,,2 days before the deadline,,,Yes,Yes,Sophomore,,,Homeschool,XXXXX,,,
